Source_File,Mode,Speed_Label,Speed_Value,Force_Limit_g,Force_Trigger_g,Trial_Index,Trial_Name,Sample_Count,Median_dt_s,Baseline_Mean_g,Baseline_Std_g,Onset_Threshold_g,Onset_Trial_Elapsed_s,Onset_Force_g,Onset_Angle,Peak_Force_g,Peak_Force_Trial_Elapsed_s,Peak_Force_Angle,Overshoot_g
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,8,speed_08,139,0.012436,-1.940000,0.128062,18.060000,2.385290,28.800000,675,672.000000,3.094890,664,572.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,9,speed_09,155,0.012306,-2.000000,0.000000,18.000000,2.455368,19.200000,675,656.000000,3.182541,664,556.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,10,speed_10,138,0.012431,-2.000000,0.000000,18.000000,3.621807,21.000000,675,622.000000,4.329716,664,522.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,11,speed_11,91,0.012432,-1.100000,1.028591,18.900000,2.324127,41.400000,668,353.000000,2.844171,671,253.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,12,speed_12,176,0.012448,-4.000000,0.000000,16.000000,2.638273,22.400000,675,642.000000,3.322173,664,542.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,13,speed_13,177,0.012432,-2.000000,0.000000,18.000000,3.005962,22.800000,675,645.000000,3.690544,664,545.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,14,speed_14,245,0.012450,-1.680000,0.483322,18.320000,2.281202,21.600000,675,660.000000,2.989230,664,560.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,15,speed_15,169,0.012333,-2.000000,0.000000,18.000000,3.629886,21.200000,675,628.000000,4.320185,664,528.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,16,speed_16,94,0.012401,-1.680000,0.483322,18.320000,2.373211,19.800000,682,346.000000,2.831087,672,246.000000
middlefinger_speed250_force100_20trials_20260303-174126.csv,speed,speed250,250,100,60,17,speed_17,187,0.012471,-2.000000,0.000000,18.000000,4.238910,24.600000,675,656.000000,4.939302,664,556.000000
